"RGcgc_ApprovalNo","RGcgc_PrevApprovalNo","RGcgc_ApprovalItemCode","RGcgc_ExecScheduledDate","RGcgc_RepaymentLimitDay","RGcgc_CommodityCode","RGcgc_SecurityCode","RGcgc_ExecScheduledMoney","RGcgc_InterestRate","RGcgc_InterestRateApplyDvsn","RGcgc_InterestSupplyRate","RGcgc_VariableInterestCode","RGcgc_SlideRange","RGcgc_StandardSpread","RGcgc_RepaymentWayCode","RGcgc_RepayIntervalCode","RGcgc_RepaymentInterestCode","RGcgc_RepayInterestIntrvlCode","RGcgc_FirstRepayInterestDate","RGcgc_FirstRepayDate","RGcgc_BeforeExecMoney","RGcgc_BeforeInterestRate","RGcgc_RootManagementNo","RGcgc_BonusTotalMoney","RGcgc_FixedContractualRate","RGcgc_VariableContractualRate","RGcgc_StepRateAppliedDate","RGcgc_StepRate","RGcgc_StepPeriod","RGcgc_CapitalUseDetailDivision","RGcgc_RepayDay","RGcgc_FractionDivision","RGcgc_DeferInterestIntrvlCode","RGcgc_RepayCount1","RGcgc_EveryRepayMoney2","RGcgc_BonusRepayMoney","RGcgc_BonusRepayCount","RGcgc_BonusBeginDate","RGcgc_BonusMonth1","RGcgc_BonusMonth2","RGcgc_StartRepayDate1","RGcgc_RepayDay1","RGcgc_LastRepayDate1","RGcgc_RepayIntervalCode1","RGcgc_IncreaseDecreaseMoney1","RGcgc_StartRepayDate2","RGcgc_RepayDay2","RGcgc_LastRepayDate2","RGcgc_RepayIntervalCode2","RGcgc_IncreaseDecreaseMoney2","RGcgc_StartRepayDate3","RGcgc_RepayDay3","RGcgc_LastRepayDate3","RGcgc_RepayIntervalCode3","RGcgc_IncreaseDecreaseMoney3","RGcgc_StartRepayDate4","RGcgc_RepayDay4","RGcgc_LastRepayDate4","RGcgc_RepayIntervalCode4","RGcgc_IncreaseDecreaseMoney4","RGcgc_StartRepayDate5","RGcgc_RepayDay5","RGcgc_LastRepayDate5","RGcgc_RepayIntervalCode5","RGcgc_IncreaseDecreaseMoney5","RGcgc_EveryRepayMoney3","RGcgc_ApprovalTypeCode","RGcgc_CapitalUseDivision","RGcgc_JikkouDate","RGcgc_TanpoKubun","RGcgc_KyokudoFlg","RGcgc_AccruedDelayInterest","RGcgc_BillLimitDate","RGcgc_InterestSettledDate","RGcgc_FixInerestTerm","RGcgc_InerestSelectDivision","RGcgc_ResponsibilityDivision","RGcgc_RepaymentDivision","RGcgc_BNSOldRateInterest","RGcgc_BNSSumFlag","RGcgc_BNSAccruedTMoney","RGcgc_BNSAccruedIMoney","RGcgc_RegularProfitMargin","RGcgc_DelayInterestMoney","RGcgc_DelayInterestCalcEndDate","RGcgc_ManagemntCreditFlag","RGcgc_TimeLimitExStopFlag","RGcgc_InterestApplyStartDiv","RGcgc_PrincipalCounterItem","RGcgc_InterestCounterItem","RGcgc_PrcpInterestCollDate","RGcgc_NowConditionStartDate","RGcgc_RegularInterestEndDate","RGcgc_AccountStartDate","RGcgc_FinalHolidayRevisedDiv","RGcgc_NextInterestSelectDiv","RGcgc_NextInterestMoney","RGcgc_NextRate","RGcgc_NextRateApplyDate","RGcgc_ExecuteStopFlag","RGcgc_SyokaiRibaraiDate","RGcgc_ConsumerLoanFlag","RGcgc_ConditionChangeDate","RGcgc_ConditionChangeFlag","RGcgc_LastRepayInterestDate","RGcgc_LastRateEndDate","RGcgc_OverdraftInterestMoney","RGcgc_PaymentInSubrogationFlag","RGcgc_AdditionalInterestMoney","RGcgc_NotFixedFormSumMoney","RGcgc_InsideAmount","RGcgc_FloatingLowerRate","RGcgc_AccruedDelayMoney","RGcgc_AccruedTMoney","RGcgc_AccruedIMoney","RGcgc_ReturnInterestMoney","RGcgc_TreatProfitMargin","RGcgc_InterestCollectedEndDate","RGcgc_InterestCollectedDate","RGcgc_InterestCalcDate","RGcgc_LatestCalcMoveDate","RGcgc_Rollover","RGcgc_GroupInsuranceDivision","RGcgc_FloatingUpperRate","RGcgc_InstallmentChangeDiv","RGcgc_InstallmentBaseYears","RGcgc_RegularInterestCount","RGcgc_NoFloatingBDivideFlag","RGcgc_SyokaiHensaiDate","RGcgc_LastLimitDate","RGcgc_FinalDivideExecuteDate","RGcgc_KyokudonaiZandaka","RGcgc_KyokudoZandaka","RGcgc_KijituTo","InsertDateTime","InsertUserNo","UpdateDateTime","UpdateUserNo"
"17300070","17300052","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.00000,0.00000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/10/24 22:40:22.027,"31001       ",2017/10/24 22:40:22.027,"31001       "
"17300071","17300062","R_RINGIKAMOKU38","20171215","20191030","10210","1001",12000000,3.92500,,,"R_RIRITUHENDO03",,,"R_HENSAIHOU8","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20180106","20180106",,,,0,0.00000,0.00000,,,,"R_SIKINSITOM129","06","R_ADJHASU0",,20,417000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"R_RINGISYURUI4","R_SIKINSITO1","20171215","61",0,0,,,,,,0,0,"1",0,0,0.00000,,,"0",,"02",,,,,,,"0","00",,0.00000,,,,"0",,"0",,,,"0",0,0,0,0.00000,,0,0,0,0.00000,,,,,,,0.00000,"1",0,0,"1","20050930",,,2000000,12000000,"20191030",2017/10/25 11:18:55.197,"31001       ",2017/10/25 11:18:55.197,"31001       "
"17300072","17300054","R_RINGIKAMOKU33","20171115","20190706","10304",,1000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.00000,0.00000,,,,"R_SIKINSITOM357","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO3","20171115","10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/10/25 11:51:26.657,"31001       ",2017/10/25 11:51:26.657,"31001       "
"17300073","17300055","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.00000,0.00000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/10/25 14:25:42.510,"31001       ",2017/10/25 14:25:42.510,"31001       "
"17300075","17300074","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,"R_RIRITUTEKI03",,"R_RIRITUHENDO03",,0.00000,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.20000,0.10000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,"20171024",,"R_KINRIKBN2",,,,,,,,,,,,,,,,"20171001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/10/25 19:49:18.500,"31001       ",2017/10/25 19:49:18.500,"31001       "
"17300082","17300054","R_RINGIKAMOKU33","20171115","20190706","10304","1001",1000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,,,,,,"R_SIKINSITOM357","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO3","20171115","72",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171025",,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/11/02 14:11:34.467,"31001       ",2017/11/02 14:11:34.467,"31001       "
"17300087","17300055","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,"R_RIRITUTEKI03",,"R_RIRITUHENDO03",,0.00000,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.20000,0.10000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,"20171024",,"R_KINRIKBN2",,,,,,,,,,,,,,,,"20171001",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/11/08 17:18:26.803,"31001       ",2017/11/08 17:18:26.803,"31001       "
"17300100","17300059","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,,,"R_RIRITUHENDO03",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.00000,0.00000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,,,"R_KINRIKBN2",,,,,,,,,,,,,,,,"20171201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/11/22 23:43:31.863,"31001       ",2017/11/22 23:43:31.863,"31001       "
"17300106","17300104","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,"R_RIRITUTEKI03",,"R_RIRITUHENDO03",,0.30000,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.20000,0.30000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,"20171128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/11/29 18:07:59.590,"31001       ",2017/11/29 18:07:59.590,"31001       "
"17300107","17300106","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,"R_RIRITUTEKI03",,"R_RIRITUHENDO03",,0.30000,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.50000,0.30000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,"20171128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/11/29 18:37:33,"31001       ",2017/11/29 18:37:33,"31001       "
"17300109","17300107","R_RINGIKAMOKU33","20171115","20190706","10001","1001",1000000,3.00000,"R_RIRITUTEKI03",,"R_RIRITUHENDO03",,0.30000,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20171206","20171206",,,,,0.20000,0.30000,,,,"R_SIKINSITOM230","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO2","20171115","72",0,,,"20171129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20171206",,,,,,2017/11/30 18:15:08.470,"31001       ",2017/11/30 18:15:08.470,"31001       "
"17300111","17300110","R_RINGIKAMOKU33","20171215","20190806","10304",,1000000,3.00000,,,"R_RIRITUHENDO01",,,"R_HENSAIHOU4","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20180106","20180106",,,,,,,,,,"R_SIKINSITOM357","06","R_ADJHASU0",,20,51322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4","R_SIKINSITO3","20171215","90",0,,"20171129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20180106",,,,,,2017/12/04 17:08:00.160,"31001       ",2017/12/04 17:08:00.160,"31001       "
"17300112","17300047","R_RINGIKAMOKU32","20171214","20181114","60615",,1000000,3.00000,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4",,"20171214","10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/12/07 15:54:39.760,"31001       ",2017/12/07 15:54:39.760,"31001       "
"17300118","17300071","R_RINGIKAMOKU38","20171215","20191030","10210","1001",12000000,3.92500,,,"R_RIRITUHENDO03",,,"","R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20180106","20180106",,,,0,0.00000,0.00000,,,,"R_SIKINSITOM129","06","R_ADJHASU0",,20,417000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"R_RINGISYURUI4","R_SIKINSITO1","20171215","61",0,0,,,,,,0,0,"1",0,0,0.00000,,,"0",,"02",,,,,,,"0","00",,0.00000,,,,"0",,"0",,,,"0",0,0,0,0.00000,,0,0,0,0.00000,,,,,,,0.00000,"1",0,0,"1","20050930",,,12000000,12000000,"20191030",2017/12/15 12:14:53.260,"31001       ",2017/12/15 12:14:53.260,"31001       "
"17300187","17300065","R_RINGIKAMOKU38","20180202","20191030","10002",,12000000,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,"20171018",,,,,,,,,,,,0,12000000,"20191030",2018/03/23 18:22:02.383,"31001       ",2018/03/23 18:22:02.383,"31001       "
"17300188","17300065","R_RINGIKAMOKU38","20180202","20191030","10002",,12000000,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R_RINGISYURUI4",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,"20171018",,,,,,,,,,,,0,12000000,"20191030",2018/03/23 19:35:14.333,"31001       ",2018/03/23 19:35:14.333,"31001       "
"18300010","17300065","R_RINGIKAMOKU38","20171215","20191030","10210","1001",12000000,3.92500,,,"R_RIRITUHENDO03",,,,"R_KANKAKU1","R_RIBARAIHOU1","R_RBRKANKAKU1","20180106","20180106",,,,0,0.00000,0.00000,,,,"R_SIKINSITOM129","06","R_ADJHASU0",,20,417000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"R_RINGISYURUI4","R_SIKINSITO1","20171215","61",0,0,,,,,,0,0,"1",0,0,0.00000,0,,"0",,"02",,,,,,,"0","00",1,0.00000,,,,"0",,"0",,,0,"0",0,0,0,0.00000,,0,0,0,0.00000,,,,,,,0.00000,"1",0,0,"1","20050930",,,0,12000000,"20191030",2018/04/27 18:08:11.980,"31001       ",2018/04/27 18:08:11.980,"31001       "
