"RGlap_ApprovalNo","RGlap_CustomerId","RGlap_ApprovalTypeCode","RGlap_DealingTypeCode","RGlap_ApprovalItemCode","RGlap_LmtApprovalNo","RGlap_LmtMoney","RGlap_LmtMrgMoney","RGlap_LmtMrgCalcBaseDate","RGlap_LmtStartDate","RGlap_LmtEndDate","RGlap_LmtInterestRate","RGlap_RequestReceiptNo","RGlap_PrevApprovalNo","RGlap_OriginalApprovalNo","RGlap_SettAuthorityCode","RGlap_ExecScheduledDate","RGlap_RepaymentLimitDay","RGlap_CommodityCode","RGlap_SecurityDivision","RGlap_ExecScheduledMoney","RGlap_InterestRate","RGlap_InterestRateApplyType","RGlap_InterestSupplyRate","RGlap_VariableInterestCode","RGlap_SlideRange","RGlap_StandardSpread","RGlap_LoanTotal","RGlap_DepositTotal","RGlap_LoanInterestTotal","RGlap_DepositInterestTotal","RGlap_HeadBranchCalcRate","RGlap_HeadBranchCalcDebitRate","RGlap_HeadBranchCalcCreditRate","RGlap_RelatedRealInterestRate","RGlap_RelatedDpstFinanceRate","RGlap_RelatedAnnualProfits","RGlap_CapitalUseDivision","RGlap_CapitalUseDetailDivision","RGlap_CapitalUseDetailDesc","RGlap_RaiseDetailItem1","RGlap_RaiseDetailItem2","RGlap_RaiseDetailItem3","RGlap_RaiseDetailMoney1","RGlap_RaiseDetailMoney2","RGlap_RaiseDetailMoney3","RGlap_FundsOnHandMoney","RGlap_RepaymentWayCode","RGlap_RepaymentInterestCode","RGlap_FirstRepayInterestDate","RGlap_FirstRepayDate","RGlap_RepayIntervalCode","RGlap_RepayInterestIntrvlCode","RGlap_RepayCapital","RGlap_RepayCount1","RGlap_RepayCount2","RGlap_RepayCount3","RGlap_EveryRepayMoney1","RGlap_EveryRepayMoney2","RGlap_EveryRepayMoney3","RGlap_SecurityFloatingExistFlg","RGlap_SecurityDesc","RGlap_Remarks","RGlap_WideUseApprovalDtls","RGlap_SubTitle","RGlap_SubTitleSupplement","RGlap_ConditionCngTypeCode","RGlap_ConditionExmptCrdtCode","RGlap_ReleaseJdgmntIntrstRate","RGlap_ApplyInterestRate","RGlap_ConditionExemptDesc","RGlap_OldVersionFlag","RGlap_RegisterFlag","RGlap_RenovationFlag","RGlap_DraftDate","RGlap_DraftUserName","RGlap_SecurityCode","RGlap_TempFlag","RGlap_InChargeUserNo","RGlap_InChargeUserName","RGlap_HQInChargeUserNo","RGlap_HQInChargeUserName","RGlap_ChangeStandardDate","RGlap_CreditNo","RGlap_BillLimitDate","RGlap_RootManagementNo","RGlap_SheetCount","RGlap_BonusTotalMoney","RGlap_ForeignMoney","RGlap_MonetaryUnit","RGlap_Reservation","RGlap_RefinanceDivision","RGlap_RefinanceFirstDate","RGlap_RefinanceUseDivision","RGlap_SelectTypeDivision","RGlap_FixedContractualRate","RGlap_VariableContractualRate","RGlap_StepRateAppliedDate","RGlap_StepRate","RGlap_StepPeriod","RGlap_OperateDetailItem1","RGlap_OperateDetailItem2","RGlap_OperateDetailItem3","RGlap_OperateDetailItem4","RGlap_OperateDetailItem5","RGlap_OperateDetailItem6","RGlap_OperateDetailItem7","RGlap_OperateDetailItem8","RGlap_OperateDetailItem9","RGlap_OperateDetailMoney1","RGlap_OperateDetailMoney2","RGlap_OperateDetailMoney3","RGlap_OperateDetailMoney4","RGlap_OperateDetailMoney5","RGlap_OperateDetailMoney6","RGlap_OperateDetailMoney7","RGlap_OperateDetailMoney8","RGlap_OperateDetailMoney9","RGlap_RaiseDetailItem4","RGlap_RaiseDetailItem5","RGlap_RaiseDetailItem6","RGlap_RaiseDetailMoney4","RGlap_RaiseDetailMoney5","RGlap_RaiseDetailMoney6","RGlap_RepayDay","RGlap_FractionDivision","RGlap_DeferInterestIntrvlCode","RGlap_BonusRepayMoney","RGlap_BonusRepayCount","RGlap_BonusBeginDate","RGlap_BonusMonth1","RGlap_BonusMonth2","RGlap_CommissionDivision","RGlap_GroupInsuranceDivision","RGlap_DebtSupport","RGlap_FireInsuranceFlag","RGlap_StartRepayDate1","RGlap_RepayDay1","RGlap_LastRepayDate1","RGlap_RepayIntervalCode1","RGlap_IncreaseDecreaseMoney1","RGlap_StartRepayDate2","RGlap_RepayDay2","RGlap_LastRepayDate2","RGlap_RepayIntervalCode2","RGlap_IncreaseDecreaseMoney2","RGlap_StartRepayDate3","RGlap_RepayDay3","RGlap_LastRepayDate3","RGlap_RepayIntervalCode3","RGlap_IncreaseDecreaseMoney3","RGlap_StartRepayDate4","RGlap_RepayDay4","RGlap_LastRepayDate4","RGlap_RepayIntervalCode4","RGlap_IncreaseDecreaseMoney4","RGlap_StartRepayDate5","RGlap_RepayDay5","RGlap_LastRepayDate5","RGlap_RepayIntervalCode5","RGlap_IncreaseDecreaseMoney5","RGlap_RelatedLoanTotal","RGlap_RelatedDepositTotal","RGlap_RelatedLoanInterestTotal","RGlap_RelatedDpstInterestTotal","RGlap_DraftBranchNo","RGlap_DraftBranchName","RGlap_ExecutionBranchNo","RGlap_StaffFinanceFlag","RGlap_ScheduledCloseMoney","RGlap_SimulScheduledCloseMoney","RGlap_DepositSecurityMny","RGlap_SimulDepositSecurityMny","RGlap_SocietyLoadMoney","RGlap_SimulSocietyLoadMoney","RGlap_AutoJudgeSettAuthority","RGlap_SettAuthorityJudgeDate","RGlap_SettAuthorityJudgeReason","RGlap_RespShareDivision","RGlap_ReceiptYear","RGlap_FixedIntstRateSelectDate","RGlap_AppSlipErrFlag","RGlap_BasisCondUpdateTime","RGlap_AutoCalcEveryRepayMoney2","RGlap_AutoCalcBonusRepayMoney","RGlap_TempAdmitFlag","RGlap_ChushinSecurityFlag","RGlap_ReapplicationCode","RGlap_EstablishmentSupport","RGlap_BusinessAssessment","RGlap_ReapplyPrevApprovalNo","RGlap_BackinApproval","RGlap_RateDownCreditNo","RGlap_NowSelectTypeDivision","RGlap_NowInterestRate","RGlap_SelectTypeDivision1","RGlap_SelectTypeRate1","RGlap_SelectTypeDivision2","RGlap_SelectTypeRate2","RGlap_SelectTypeDivision3","RGlap_SelectTypeRate3","RGlap_SelectTypeDivision4","RGlap_SelectTypeRate4","RGlap_SelectTypeDivision5","RGlap_SelectTypeRate5","RGlap_SelectTypeDivision6","RGlap_SelectTypeRate6","RGlap_SelectTypeDivision7","RGlap_SelectTypeRate7","RGlap_ConditionApprovalFlag","InsertDateTime","InsertUserNo","UpdateDateTime","UpdateUserNo"
"C18315664",3455,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU33","",,," "," "," ",,"00451096","17371250","","R_KESSAIKENGE2","20201009","20220606","14725","52",185600000,0.75000,"R_RIRITUTEKI03",,"R_RIRITUHENDO02",,,,,,,,,,,,,"R_SIKINSITO2","R_SIKINSITOM244","éëã‡égìrè⁄ç◊ê‡ñæ","é©å»éëã‡","","",4000000,,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","ï‘çœå¥éë",360,,,,575889,,1,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 10:41:31.570,"ãNàƒé“ñº","",0,"135060","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,"330003023"," ",,,,,"","",""," ","","R_KINRIKBN10",0.00000,0.00000,,,,"ìyín","åöíz","èîîÔóp","","","","","","",57000000,124610000,7990000,,,,,,,"","","",,,,"31","R_ADJHASU0",,0,," "," "," ","","",,""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"080","ëÂè´åRéxìX","080",0,,,,,,,"R_KESSAIKENGE2",2018/06/13 15:10:25.223,"åàçœå†å¿îªíËóùóR",""," ","20280630",0,2018/05/31 10:41:31.570,,,0,0,"R_SAISINSEI01","R_SOGYOSHIEN0","R_JIGYOHYOKA0",,0,,,,,,,,,,,,,,,,,,0,2018/05/31 10:41:31.570,"135060      ",2018/06/30 4:01:19.343,"0           "
"C18315665",1086,"R_RINGISYURUI3",,,,,,,,,,"",,,"R_KESSAIKENGE2","20201009","20220606",,,,,,,"R_RIRITUHENDO02",,,,,,,,,,,,,,,"éëã‡égìrè⁄ç◊ê‡ñæ",,,,,,,,,,"202011","202011",,,"ï‘çœå¥éë",,,,,,,,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe","R_SUBTITLE0103","",,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 10:43:03.807,"ãNàƒé“ñº",,0,"135844","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"010","ïSñúï’éxìX","010",,,,,,,,"R_KESSAIKENGE2",2018/06/05 18:16:16.233,"åàçœå†å¿îªíËóùóR",,,,0,2018/06/05 18:16:05.573,,,0,0,"",,,,0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2018/05/31 10:43:03.807,"135844      ",2018/06/15 4:12:37.467,"0           "
"C18315666",427609,"R_RINGISYURUI1","R_TORIHIKISYU2","R_RINGIKAMOKU38","",,," "," "," ",,"00525871",,"","R_KESSAIKENGE1","20201009","20220606","10360","71",1800000,14.60000,"",,"R_RIRITUHENDO02",,,,,,,,,,,,,"R_SIKINSITO1","R_SIKINSITOM129","éëã‡égìrè⁄ç◊ê‡ñæ","","","",,,,,"R_HENSAIHOU8","R_RIBARAIHOU3","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","ï‘çœå¥éë",,,,,0,,1,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 10:44:18.117,"ãNàƒé“ñº","4033",0,"137737","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,"610106265"," ",,,,,"","",""," ","","",,,,,,"â^ì]éëã‡","","","","","","","","",1800000,,,,,,,,,"","","",,,,"10","",,,," "," "," ","","",,""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"127","â©ü@éxìX","127",0,,,,,,,"R_KESSAIKENGE1",2018/05/31 10:46:19.460,"åàçœå†å¿îªíËóùóR",""," ",,0,2018/05/31 10:45:10.540,,,0,0,"","R_SOGYOSHIEN0","R_JIGYOHYOKA0",,0,,,,,,,,,,,,,,,,,,0,2018/05/31 10:44:18.117,"137737      ",2018/06/08 4:18:01.227,"0           "
"C18315667",3455,"R_RINGISYURUI3",,,,,,,,,,"",,,"R_KESSAIKENGE2","20201009","20220606",,,,,,,"R_RIRITUHENDO02",,,,,,,,,,,,,,,"éëã‡égìrè⁄ç◊ê‡ñæ",,,,,,,,,,"202011","202011",,,"ï‘çœå¥éë",,,,,,,,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe","R_SUBTITLE0110","",,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 10:53:04.457,"ãNàƒé“ñº",,0,"135060","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"080","ëÂè´åRéxìX","080",,,,,,,,"R_KESSAIKENGE2",2018/06/13 15:47:25.283,"åàçœå†å¿îªíËóùóR",,,,0,2018/06/13 15:37:55.660,,,0,0,"",,,,0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2018/05/31 10:53:04.457,"135060      ",2018/06/30 4:01:17.127,"0           "
"C18315668",295322,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU31","",,," "," "," ",,"00525878",,"","R_KESSAIKENGE2","20201009","20220606","00002","10",9960000,2.67500,"",,"R_RIRITUHENDO02",,,,,,,,,,,,,"R_SIKINSITO1","R_SIKINSITOM103","éëã‡égìrè⁄ç◊ê‡ñæ","","","",,,,,"","","202011","202011","","","ï‘çœå¥éë",,,,,,,0,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 10:54:18.123,"ãNàƒé“ñº","",0,"146294","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,"310001023"," ",,1,,,"","",""," ","","",,,,,,"","","","","","","","","",,,,,,,,,,"","","",,,," ","",,,," "," "," ","","",,""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"069","êºñÏéRéxìX","069",0,,,,,,,"R_KESSAIKENGE2",2018/05/31 10:57:03.780,"åàçœå†å¿îªíËóùóR",""," ",,0,2018/05/31 10:54:18.123,,,0,0,"","R_SOGYOSHIEN0","R_JIGYOHYOKA0",,0,,,,,,,,,,,,,,,,,,0,2018/05/31 10:54:18.123,"146294      ",2018/06/07 4:03:19.333,"0           "
"C18315669",470345,"R_RINGISYURUI3",,,,,,,,,,"",,,"R_KESSAIKENGE2","20201009","20220606",,,,,,,"R_RIRITUHENDO02",,,,,,,,,,,,,,,"éëã‡égìrè⁄ç◊ê‡ñæ",,,,,,,,,,"202011","202011",,,"ï‘çœå¥éë",,,,,,,,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe","R_SUBTITLE0116","ã£îÑéËë±èIóπÇ…î∫Ç§ç™íÔìñå†ëSïîñïè¡",,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 10:56:19.123,"ãNàƒé“ñº",,0,"133597","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143","ñáï˚éxìX","143",,,,,,,,"R_KESSAIKENGE2",2018/05/31 15:00:51.547,"åàçœå†å¿îªíËóùóR",,,,0,2018/05/31 10:56:19.123,,,0,0,"",,,,0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2018/05/31 10:56:19.123,"133597      ",2018/06/05 3:58:57.077,"0           "
"C18315671",523076,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU33","",,," "," "," ",,"00525879",,"","R_KESSAIKENGE1","20201009","20220606","78801","71",500000,9.50000,"",,"R_RIRITUHENDO02",,,,,,,,,,,,,"R_SIKINSITO4","R_SIKINSITOM499","éëã‡égìrè⁄ç◊ê‡ñæ","","","",,,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","ï‘çœå¥éë",120,,,,6469,,1,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 10:59:32.690,"ãNàƒé“ñº","4015",0,"590498","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,"330003001"," ",,,,,"","",""," ","","",,,,,,"","","","","","","","","",,,,,,,,,,"","","",,,,"16","R_ADJHASU0",,0,," "," "," ","","",,""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"016","êºå‹èéxìX","016",0,,,,,,,"R_KESSAIKENGE1",2018/05/31 11:23:32.423,"åàçœå†å¿îªíËóùóR",""," ",,0,2018/05/31 10:59:32.690,,,0,0,"","R_SOGYOSHIEN0","R_JIGYOHYOKA0",,0,,,,,,,,,,,,,,,,,,0,2018/05/31 10:59:32.690,"590498      ",2018/06/02 4:37:49.193,"0           "
"C18315672",318830,"R_RINGISYURUI4","R_TORIHIKISYU1","R_RINGIKAMOKU33",,,,,,,,"00525881","07104322","07104322","R_KESSAIKENGE2","20201009","20220606","52132","71",16619922,2.40000,"R_RIRITUTEKI04",,"R_RIRITUHENDO02",,0.00000,,,,,,,,,,,"R_SIKINSITO3","R_SIKINSITOM353","éëã‡égìrè⁄ç◊ê‡ñæ",,,,,,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","ï‘çœå¥éë",295,,,,74637,0,0,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 11:01:22.170,"ãNàƒé“ñº","4050",0,"589322","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº","20180528","330003003",,,,0,,,,,,,"R_KINRIKBN10",-1.20000,-1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27","R_ADJHASU0",,0,0," "," "," ",,"R_DANSINKBN1",,," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"106","ìåéõéxìX","106",,,,,,,,"R_KESSAIKENGE2",2018/05/31 14:31:10.303,"åàçœå†å¿îªíËóùóR",,,,0,2018/05/31 14:18:29.037,74638,0,0,0,"","R_SOGYOSHIEN0","R_JIGYOHYOKA0","",0,,,,,,,,,,,,,,,,,,0,2018/05/31 11:01:22.170,"589322      ",2018/06/12 4:12:41.723,"0           "
"C18315673",2027,"R_RINGISYURUI3",,,,,,,,,,"",,,"R_KESSAIKENGE2","20201009","20220606",,,,,,,"R_RIRITUHENDO02",,,,,,,,,,,,,,,"éëã‡égìrè⁄ç◊ê‡ñæ",,,,,,,,,,"202011","202011",,,"ï‘çœå¥éë",,,,,,,,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe","R_SUBTITLE0503","ä˙å¿ìûóàï€èÿêlâèú",,,,,"èåèä…òaï‚ë´ê‡ñæ",0,0,0,2018/05/31 11:03:21.910,"ãNàƒé“ñº",,0,"583006","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"032","ä€ëæí¨éxìX","032",,,,,,,,"R_KESSAIKENGE2",2018/06/04 16:09:09.903,"åàçœå†å¿îªíËóùóR",,,,0,2018/06/04 16:02:39.247,,,0,0,"",,,,0,"","",,"",,"",,"",,"",,"",,"",,"",,0,2018/05/31 11:03:21.910,"583006      ",2018/07/05 10:45:17.230,"0           "
"C18315674",301858,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU31","",,," "," "," ",,"00525883",,"","R_KESSAIKENGE2","20201009","20220606","00001","10",936555,3.12500,"",,"R_RIRITUHENDO02",,,,,,,,,,,,,"R_SIKINSITO1","R_SIKINSITOM103","éëã‡égìrè⁄ç◊ê‡ñæ","","","",,,,,"","","202011","202011","","","ï‘çœå¥éë",,,,,,,0,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 11:04:55.807,"ãNàƒé“ñº","",0,"591300","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,"310001215"," ",,1,,,"","",""," ","","",,,,,,"","","","","","","","","",,,,,,,,,,"","","",,,," ","",,,," "," "," ","","",,""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"001","ñ{ìXâcã∆ïî","001",0,,,,,,,"R_KESSAIKENGE2",2018/05/31 11:27:25.667,"åàçœå†å¿îªíËóùóR",""," ",,0,2018/05/31 11:04:55.807,,,0,0,"","R_SOGYOSHIEN0","R_JIGYOHYOKA0",,0,,,,,,,,,,,,,,,,,,0,2018/05/31 11:04:55.807,"591300      ",2018/06/07 4:03:19.697,"0           "
"C18315675",439176,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU32","",,," "," "," ",,"00525884",,"","R_KESSAIKENGE2","20201009","20220606","10900","52",15000000,2.40000,"",,"R_RIRITUHENDO02",,,,,,,,,,,,,"R_SIKINSITO1","R_SIKINSITOM128","éëã‡égìrè⁄ç◊ê‡ñæ","","","",,,,,"R_HENSAIHOU1","R_RIBARAIHOU2","202011","202011","","R_RBRKANKAKU0","ï‘çœå¥éë",1,,,,,,0,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,0,0,2018/05/31 11:08:03.060,"ãNàƒé“ñº","",0,"577811","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,,"20180831",,,,,"","",""," ","","",,,,,,"ç≈èIã‡","","","","","","","","",25000000,,,,,,,,,"óaã‡","","",10000000,,," ","",,,," "," "," ","","",,""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"071","î™î¶éxìX","071",0,,,,,,,"R_KESSAIKENGE2",2018/06/22 16:20:11.430,"åàçœå†å¿îªíËóùóR",""," ",,0,2018/06/21 16:20:36.940,,,0,0,"","R_SOGYOSHIEN0","R_JIGYOHYOKA0",,0,,,,,,,,,,,,,,,,,,0,2018/05/31 11:08:03.060,"577811      ",2018/06/28 8:45:14.363,"0           "
"C18315676",2909,"R_RINGISYURUI4","R_TORIHIKISYU1","R_RINGIKAMOKU33",,,,,,,,"00520614","13388087","13388087","R_KESSAIKENGE1","20201009","20220606","52200","71",45641500,0.67500,"R_RIRITUTEKI04",,"R_RIRITUHENDO02",,-2.00000,,,,,,,,,,,"R_SIKINSITO3","R_SIKINSITOM351","éëã‡égìrè⁄ç◊ê‡ñæ","ëºçsóaã‡","","",19565000,,,,"R_HENSAIHOU2","R_RIBARAIHOU2","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","ï‘çœå¥éë",249,,,,183500,133500,1,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 11:08:32.870,"ãNàƒé“ñº","4050",0,"580916","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº","20180626","330003003",,,,0,,"","","",,,"R_KINRIKBN99",-1.30000,-1.90000,,,,"ìyín","åöï®","","","","","","","",38068000,36497000,,,,,,,,"","","",,,,"25","R_ADJHASU2",,0,0," "," "," ","","R_DANSINKBN1",,"UMU1"," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"101","ê£ìcéxìX","101",0,,,,,,,"R_KESSAIKENGE1",2018/06/01 9:45:36.007,"åàçœå†å¿îªíËóùóR",," ",,0,2018/05/31 12:48:21.920,,,0,0,"R_SAISINSEI01","R_SOGYOSHIEN0","R_JIGYOHYOKA0","18308019",0,,,,,,,,,,,,,,,,,,0,2018/05/31 11:08:32.870,"580916      ",2018/06/05 3:58:57.837,"0           "
"C18315677",322168,"R_RINGISYURUI4","R_TORIHIKISYU1","R_RINGIKAMOKU33",,,,,,,,"00525778","18307748","08018406","R_KESSAIKENGE1","20201009","20220606","52131","71",17965861,1.30000,"R_RIRITUTEKI04",,"R_RIRITUHENDO02",,0.00000,,,,,,,,,,,"R_SIKINSITO3","R_SIKINSITOM369","éëã‡égìrè⁄ç◊ê‡ñæ",,,,,,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","ï‘çœå¥éë",228,,,,88971,0,0,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,1,0,2018/05/31 11:08:57.640,"ãNàƒé“ñº","4050",0,"136892","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº","20180528","330003006",,,,0,,,,"R_KARIKAEKBN2","20030627","R_SIKINSITOM354","R_KINRIKBN10",-1.20000,-1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27","R_ADJHASU0",,0,0," "," "," ",,"R_DANSINKBN1",,," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"024","å¸ì˙í¨éxìX","024",,,,,,,,"R_KESSAIKENGE1",2018/05/31 11:21:54,"åàçœå†å¿îªíËóùóR",,,,0,2018/05/31 11:08:57.640,88971,0,0,0,"","R_SOGYOSHIEN0","R_JIGYOHYOKA0","",0,,,,,,,,,,,,,,,,,,0,2018/05/31 11:08:57.640,"136892      ",2018/06/01 4:23:14.390,"0           "
"C18315678",522893,"R_RINGISYURUI1","R_TORIHIKISYU1","R_RINGIKAMOKU33","",,," "," "," ",,"00525318","18315507","","R_KESSAIKENGE2","20201009","20220606","52905","51",24600000,0.67500,"R_RIRITUTEKI04",,"R_RIRITUHENDO02",,,,,,,,,,,,,"R_SIKINSITO3","R_SIKINSITOM352","éëã‡égìrè⁄ç◊ê‡ñæ","UFJ","êeë∞","",6900000,5300000,,,"R_HENSAIHOU4","R_RIBARAIHOU1","202011","202011","R_KANKAKU1","R_RBRKANKAKU1","ï‘çœå¥éë",240,,,,109603,,1,"íSï€ñæç◊","ì¡ãLéñçÄ","îƒóp‚gãcì‡óe",,,,,,,"èåèä…òaï‚ë´ê‡ñæ",0,3,0,2018/05/31 11:09:29.780,"ãNàƒé“ñº","",0,"582241","åªç›ÇÃèàóùíSìñé“ñº",,"ñ{ïîêRç∏íSìñé“ñº",,," ",,,,,"","",""," ","","R_KINRIKBN99",-1.80000,-2.00000,,,,"ï®åèâøäi","","","","","","","","",36800000,,,,,,,,,"","","",,,,"31","R_ADJHASU0",,0,," "," "," ","","R_DANSINKBN1",,""," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",," "," "," ","",,,,,,"040","ä‚ëqéxìX","040",0,,,,,,,"R_KESSAIKENGE2",2018/06/06 14:51:24.167,"åàçœå†å¿îªíËóùóR",""," ",,0,2018/06/06 14:50:56.037,,,2,0,"R_SAISINSEI02","R_SOGYOSHIEN0","R_JIGYOHYOKA0",,0,,,,,,,,,,,,,,,,,,0,2018/05/31 11:09:29.780,"582241      ",2018/06/18 12:15:10.357,"0           "
